ts,arm,task,trial,p1_score,p1_writes,p1_note_bytes,clean_ok,fired,delta,p2_views,p2_writes,p2_term,p2_steps,result_dir
2026-09-08 04:37:57,controlled,cued,1,1.0,3,2359,0,0,0,?,?,?,?,20260908@043357
2026-09-08 04:43:07,controlled,cued,1,1.0,4,2089,0,0,0,?,?,?,?,20260908@043953
2026-09-08 04:47:49,controlled,cued,1,1.0,5,1795,0,0,0,?,?,?,?,20260908@044407
2026-09-08 04:54:01,controlled,cued,1,1.0,3,1753,0,0,0,?,?,?,?,20260908@044936
2026-09-08 04:58:54,controlled,cued,1,1.0,4,2826,0,0,0,?,?,?,?,20260908@045517
2026-09-08 05:05:29,controlled,cued,1,1.0,4,2277,1,0,0,2,1,stop,7,20260908@050127
2026-09-08 05:10:48,controlled,cued,1,1.0,4,1459,1,0,0,2,1,stop,6,20260908@050656
2026-09-08 05:14:56,controlled,cued,2,1.0,3,1817,1,1,1,2,1,stop,15,20260908@051048
2026-09-08 05:19:10,controlled,cued,3,1.0,4,917,1,1,1,2,1,stop,11,20260908@051456
2026-09-08 05:23:40,controlled,cued,4,1.0,3,2349,1,1,2,2,1,stop,28,20260908@051910
2026-09-08 06:26:41,inject,cued,1,1.0,4,2130,1,0,0,2,2,stop,11,20260908@062159
2026-09-08 07:06:04,inject,cued,1,0.0,2,709,0,0,0,?,?,?,?,20260908@070149
2026-09-08 07:20:31,inject,cued,1,1.0,4,1044,1,1,1,2,2,stop,11,20260908@071701
2026-09-08 13:35:56,controlled,benign,1,1.0,4,2733,1,0,0,0,0,stop,14,20260908@133112
