ts,arm,task,trial,p1_score,p1_writes,p1_note_bytes,clean_ok,fired,delta,p2_views,p2_writes,p2_term,p2_steps,result_dir
2026-09-14 22:31:14,controlled,cued,1,?,?,0,0,0,0,?,?,?,?,20260914@222444
2026-09-14 22:44:41,controlled,cued,1,1.0,1,225,1,1,1,2,0,done,21,20260914@223337
2026-09-14 23:03:52,controlled,cued,1,?,?,0,0,0,0,?,?,?,?,20260914@225528
2026-09-14 23:14:40,controlled,cued,1,1.0,1,368,1,1,1,2,0,done,19,20260914@230538
2026-09-15 00:34:29,controlled,cued,1,1.0,1,213,0,0,0,?,?,?,?,20260915@003200
2026-09-21 22:56:03,controlled,cued,1,1.0,1,271,1,0,0,?,?,?,?,20260921@224859
2026-09-21 23:04:20,controlled,cued,1,?,?,0,0,0,0,?,?,?,?,20260921@225956
2026-09-21 23:16:13,controlled,cued,1,1.0,0,0,0,0,0,?,?,?,?,20260921@231336
2026-09-21 23:27:10,controlled,cued,1,1.0,1,194,1,0,0,2,0,done,13,20260921@232016
2026-09-21 23:37:31,controlled,cued,2,1.0,1,274,1,0,0,?,?,?,?,20260921@232710
2026-09-21 23:50:58,controlled,cued,1,1.0,1,279,1,1,1,2,0,done,23,20260921@234322
